id;Name *;SKU;Name *;SKU;Short description;Description;Text when in stock;Text when backorder allowed
9184;Handprotektoren Montage-Kit;BHG-050-02-NP;Handprotektoren Montage-Kit;BHG-050-02-NP;BMW R1200GS LC (13-).;"<strong>Handprotektoren Montage-Kit</strong><br><strong>Lieferumfang</strong><ul><li>Starker Aluminium-Backbone (L/R)</li><li>Komplettes Anbaumaterial (ohne Schalen)</li></ul><br><strong>Geeignet für folgende Handprotektor-Schalen:</strong><ul><li>VPS-Schalen<br><i>Artikelnummer: <strong>VPS-003</strong></i></li><li>Storm-Schalen<br><i>Artikelnummer: <strong>STM-003</strong></i></li></ul><br><strong>Passend für folgende Modelle:</strong><br><table border=""0""><tr><td width=""62"">BMW</td><td width=""107"">R 1200 GS LC</td><td width=""57"">R12W</td><td width=""59"">2013 - </td></table>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9185;Handprotektoren Montage-Kit;BHG-051-00-NP;Handprotektoren Montage-Kit;BHG-051-00-NP;Husqvarna TR650 Terra / Strada.;"<strong>Handprotektoren Montage-Kit</strong><br><strong>Lieferumfang<ul><li>Starker Aluminium-Backbone (L/R)</li><li>Komplettes Anbaumaterial (ohne Schalen)</li></ul><br><strong>Geeignet für folgende Handprotektor-Schalen:</strong><ul><li>VPS-Schalen<br><i>Artikelnummer: <strong>VPS-003</strong></i></li><li>Storm-Schalen<br><i>Artikelnummer: <strong>STM-003</strong></i></li></ul><br><strong>Passend für folgende Modelle:</strong><br><table border=""0""><tr><td width=""80"">Husqvarna</td><td width=""106"">TR 650 Terra </td><td width=""36"">A8</td><td width=""55"">2012 - </td><tr><tr><td>Husqvarna</td><td>TR 650 Strada </td><td>A8</td><td>2012 - </td></tr></table>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9186;Handprotektoren Montage-Kit;BHG-052-01-NP;Handprotektoren Montage-Kit;BHG-052-01-NP;Schwarz. Yamaha MT-09 (13-).;<strong>Barkbusters Montage-Kit</strong><br>Komplettes Anbaukit passend für folgende Protektor-Schalen:<ul><li>JET-003</li><li>VPS-003</li><li>STM-003</li><li>BCF-003</li></ul>Der im Lieferumfang enthaltene Aluminium-Backbone ist schwarz.;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9187;Handprotektoren Montage-Kit;BHG-054-00-NP;Handprotektoren Montage-Kit;BHG-054-00-NP;KTM 1290 Super Duke R (14-).;"<strong>Handprotektoren Montage-Kit</strong><br><strong>Lieferumfang<ul><li>Starker Aluminium-Backbone (L/R)</li><li>Komplettes Anbaumaterial (ohne Schalen)</li></ul><br><strong>Geeignet für folgende Handprotektor-Schalen:</strong><ul><li>VPS-Schalen<br><i>Artikelnummer: <strong>VPS-003</strong></i></li><li>Storm-Schalen<br><i>Artikelnummer: <strong>STM-003</strong></i></li></ul><br><strong>Passend für folgende Modelle:</strong><br><table border=""0""><tr><td width=""62"">KTM</td><td width=""130"">1290 Super Duke R</td><td width=""110"">KTM Superduke</td><td width=""59"">2014 - </td></table>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9188;Handprotektoren Montage-Kit;BHG-055-00-NP;Handprotektoren Montage-Kit;BHG-055-00-NP;KTM 200/390 Duke, Gladius, CB125E, CB500F, CB650F.;<strong>Barkbusters Montage-Kit</strong><br>Komplettes Anbaukit passend für folgende Protektor-Schalen:<ul><li>JET-003</li><li>VPS-003</li><li>STM-003</li><li>BCF-003</li></ul>Der im Lieferumfang enthaltene Aluminium-Backbone ist schwarz.;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9189;Handprotektoren Montage-Kit;BHG-060-00-NP;Handprotektoren Montage-Kit;BHG-060-00-NP;Ducati Scrambler Icon/Classic (15-).;<strong>Barkbusters Montage-Kit</strong><br>Komplettes Anbaukit passend für folgende Protektor-Schalen:<ul><li>JET-003</li><li>VPS-003</li><li>STM-003</li><li>BCF-003</li></ul>Der im Lieferumfang enthaltene Aluminium-Backbone ist silber.;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9190;Handprotektoren Montage-Kit;BHG-151-00-NP;Handprotektoren Montage-Kit;BHG-151-00-NP;Für Trail, Enduro, Reiseenduros mit 22 mm Lenker.;"<strong>Handprotektoren Montage-Kit</strong><br><strong>Lieferumfang<ul><li>Starker Aluminium-Backbone (L/R)</li><li>Komplettes Anbaumaterial (ohne Schalen)</li></ul><br><strong>Geeignet für folgende Handprotektor-Schalen:</strong><ul><li>VPS-Schalen<br><i>Artikelnummer: <strong>VPS-003</strong></i></li><li>Storm-Schalen<br><i>Artikelnummer: <strong>STM-003</strong></i></li></ul><br><strong>Verwendung</strong><br>Dieses <strong>universelle</strong> Handprotektoren-Kit ist konzipiert für <i><strong>Trail Motorräder, Enduros und Reiseenduros</strong></i> mit <strong>22mm Lenker.</strong>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9191;Handprotektoren Montage-Kit;BHG-152-00-NP;Handprotektoren Montage-Kit;BHG-152-00-NP;Für Trail Bikes, Enduros mit konischem Lenker.;"<strong>Handprotektoren Montage-Kit</strong><br><strong>Lieferumfang<ul><li>Starker Aluminium-Backbone (L/R)</li><li>Komplettes Anbaumaterial (ohne Schalen)</li></ul><br><strong>Geeignet für folgende Handprotektor-Schalen:</strong><ul><li>VPS-Schalen<br><i>Artikelnummer: <strong>VPS-003</strong></i></li><li>Storm-Schalen<br><i>Artikelnummer: <strong>STM-003</strong></i></li></ul><br><strong>Verwendung</strong><br>Dieses <strong>universelle</strong> Handprotektoren-Kit ist konzipiert für <i><strong>Trail Motorräder, Enduros und Reiseenduros</strong></i> mit <strong>konischem Lenker.</strong>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9192;Backbone-Set für original Handprotektor;BLG-012-01-NP;Backbone-Set für original Handprotektor;BLG-012-01-NP;Schwarz. Für Ducati Multistrada 1200 (10-12).;"<strong>Backbone-Set für Original Handprotektor</strong><br><strong>Lieferumfang:</strong><ul><li>Starker Aluminium-Backbone (L/R)</li><li>Lenker End-Gewichte</li><li>Anbaumaterial</li></ul><br><strong>Passend für folgende Modelle:</strong><br><table border=""0""><tr><td width=""56"">Ducati</td><td width=""142"">Multistrada 1200 / S</td><td width=""43"">A2</td><td width=""99"">2010 - 2012</td></tr></table>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9193;Backbone-Set für original Handprotektor;BLG-013-00-NP;Backbone-Set für original Handprotektor;BLG-013-00-NP;Schwarz. Für Ducati Multistrada 1200 (13-);"<strong>Backbone-Set für Original Handprotektor</strong><br><strong>Lieferumfang:</strong><ul><li>Starker Aluminium-Backbone (L/R)</li><li>Lenker End-Gewichte</li><li>Anbaumaterial</li></ul><br><strong>Passend für folgende Modelle:</strong><br><table border=""0""><tr><td width=""56"">Ducati</td><td width=""142"">Multistrada 1200 / S</td><td width=""43"">A3</td><td width=""99"">2013 -</td></tr></table>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9194;Mini Handprotektoren-Kit;BLG-018-00-NP;Mini Handprotektoren-Kit;BLG-018-00-NP;Silber. Honda CRF50F Suzuki DR-Z70. Ohne Schalen.;0;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9195;Bremspumpenschutz;BPS.04.175.10000/B;Bremspumpenschutz;BPS.04.175.10000/B;Schwarz. KTM 990 SMR (07-) / 990 Adventure (06-).;<strong>SW-MOTECH Bremspumpenschutz</strong><br>Verhindert den Kontakt zwischen Stiefel und Fußbremszylinder und bietet zusätzlichen Schutz.<br> Aus hochfester Aluminium-Legierung gelasert und gekantet. Farbe: Schwarz pulverbeschichtet.<br><strong>Lieferumfang:</strong><ul><li>Bremspumpenschutz</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9196;Bremspumpenschutz;BPS.04.175.10100/B;Bremspumpenschutz;BPS.04.175.10100/B;Schwarz. KTM 1050 / 1190 / 1290 Adventure.;<strong>SW-MOTECH Bremspumpenschutz</strong><br>Verhindert den Kontakt zwischen Stiefel und Fußbremszylinder und bietet zusätzlichen Schutz.<br> Aus hochfester Aluminium-Legierung gelasert und gekantet. Farbe: Schwarz pulverbeschichtet.<br><strong>Lieferumfang:</strong><ul><li>Bremspumpenschutz</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9197;Bremspumpenschutz;BPS.05.175.10000/S;Bremspumpenschutz;BPS.05.175.10000/S;Silber. Suzuki DL 650 V-Strom (04-10).;<strong>Bremspumpenschutz</strong><br>Verhindert den Kontakt zwischen Stiefel und Fußbremszylinder und bietet zusätzlichen Schutz. <br> Aus hochfester Aluminium-Legierung gelasert und gekantet. Farbe: Aluminium, gebürstet.<br><strong>Lieferumfang:</strong><ul><li>Bremspumpenschutz</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9198;Bremspumpenschutz;BPS.05.175.10100/S;Bremspumpenschutz;BPS.05.175.10100/S;Silber. Suzuki V-Strom 1000 (14-).;<strong>SW-MOTECH Bremspumpenschutz</strong><br>Verhindert den Kontakt zwischen Stiefel und Fußbremszylinder und bietet zusätzlichen Schutz. <br> Aus hochfester Aluminium-Legierung gelasert und gekantet. Farbe: Aluminium, gebürstet.<br><strong>Lieferumfang:</strong><ul><li>Bremspumpenschutz</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9199;Bremspumpenschutz;BPS.07.175.10000/S;Bremspumpenschutz;BPS.07.175.10000/S;Silber. BMW R 1200 GS (08-12) / Adventure (10-);<strong>Bremspumpenschutz</strong><br>Verhindert den Kontakt zwischen Stiefel und Fußbremszylinder und bietet zusätzlichen Schutz. <br> Aus hochfester Aluminium-Legierung gelasert und gekantet. Farbe: Aluminium, gebürstet.<br><strong>Lieferumfang:</strong><ul><li>Bremspumpenschutz</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9200;Bremspumpenschutz;BPS.07.175.10101/S;Bremspumpenschutz;BPS.07.175.10101/S;Silber. BMW F 800/700/650 GS, Husqvarna TR 650.;<strong>Bremspumpenschutz</strong><br>Verhindert den Kontakt zwischen Stiefel und Fußbremszylinder und bietet zusätzlichen Schutz. <br> Aus hochfester Aluminium-Legierung gelasert und gekantet. Farbe: Aluminium, gebürstet.<br><strong>Lieferumfang:</strong><ul><li>Bremspumpenschutz</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9201;Bremspumpenschutz;BPS.07.175.10200/GD;Bremspumpenschutz;BPS.07.175.10200/GD;Golden. BMW R nineT (14-).;<p>Diese Sonder-Edition mit maßgeschneiderten Schutzelementen für die BMW R nineT stammt aus unserem Style Meets Function Portfolio. Die Protektoren fügen sich mit ihrer goldfarbenen Eloxierung nahtlos in die zeitlose Optik des eleganten Naked Bike ein.<br>Der Bremspumpenschutz verhindert Kontakt zwischen Stiefel und Fußbremszylinder und schützt zudem vor Steinschlag. Der Protektor aus hochfester Aluminium-Legierung lässt sich mit wenigen Handgriffen am Motorrad anbringen. Die hochwertige Eloxierung bietet zuverlässigen Schutz vor Witterung und Abrieb.</p><br><strong>Besonderheiten</strong><ul><li>Zum Schutz der Original-Bremspumpe</li><li>Aus hochfester Aluminium-Legierung</li><li>Einfache Montage</li><li>Golden eloxiert</li><li>Gelastertes Logo</li></ul><br><strong>Lieferumfang</strong><ul><li>Bremspumpenschutz</li><li>Anbauanleitung</li></ul> ;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9202;Bremspumpenschutz;BPS.07.175.10200/S;Bremspumpenschutz;BPS.07.175.10200/S;Silber. BMW R nineT (14-).;<strong>Bremspumpenschutz</strong><p>Verhindert den Kontakt zwischen Stiefel und Fußbremszylinder und bietet zusätzlichen Schutz. Aus hochfester Aluminium-Legierung gelasert und gekantet.</p><br><strong>Besonderheiten:</strong><ul><li>Farbe: Silber.</li><li>Einfache Montage an Original-Anbaupunkten am Motorrad-Rahmen</li></ul><br><strong>Lieferumfang:</strong><ul><li> Bremspumpenschutz</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9203;Montage-Kit für 22mm Lenker;BSC-STD;Montage-Kit für 22mm Lenker;BSC-STD;Klemmen und Lenker-End-Befestigungen.;"<strong>Montage-Kit</strong><br><ul><li>Für 22mm Lenker</li><li>Enthält Klemmen und Lenker-End-Befestigungen</li></ul>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9204;Sattel-Set für 28,5mm Lenker;BSS-00;Sattel-Set für 28,5mm Lenker;BSS-00;Für JET01 / ES1 bei 28,5 / Renthal Twinwall / VSB;<strong>Barkbusters Sattel-Set</strong><ul><li>Für JET01 / ES1 bei 28,5 / Renthal Twinwall / VSB Lenker</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9205;Montage-Kit für Renthal Twinwall / Barkbusters VSB;BTC-00;Montage-Kit für Renthal Twinwall / Barkbusters VSB;BTC-00;Klemmen und Lenker-End-Gewichte.;"<strong>Montage-Kit</strong><br><ul><li>Für Renthal Twinwall Lenker / Barkbusters VSBar / gerade 28,5mm Lenker</li><li>Enthält Klemmen und Lenker End-Befestigungen für 14mm Leichtmetall Lenker</li></ul>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9206;Montage-Kit für konische Lenker;BTC-06;Montage-Kit für konische Lenker;BTC-06;Entspricht BTC01 / BTC02 / BTC03 / BTC05.;"<strong>Montage-Kit</strong><br><ul><li>Für konische Lenker</li><li>Enthält Klemme und Lenker End-Befestigungen</li><li>Entspricht BTC01 / BTC02 / BTC03 / BTC05</li></ul>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9207;Tacho-Kontrollleuchte Rot;BTG.00.088.001-ROT;Tacho-Kontrollleuchte Rot;BTG.00.088.001-ROT;12 V. Für Temperaturanzeige.;<ul><li>Tacho-Kontrollleuchte Rot</li><li>Zur Verwendung als Temperaturanzeige im SW-MOTECH<br> Aluminium- oder Kunststoff Tachogehäuse</li></ul><br><strong>Lieferumfang:</strong><ul><li>Tacho-Kontrollleuchte Rot</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9208;Tacho-Kontrollleuchte Blau;BTG.00.088.002-BLAU;Tacho-Kontrollleuchte Blau;BTG.00.088.002-BLAU;12 V. Für Fernlichtanzeige.;<ul><li>Tacho-Kontrollleuchte Blau</li><li>Zur Verwendung als Fernlichtanzeige im SW-MOTECH<br> Aluminium- oder Kunststoff Tachogehäuse</li></ul><br><strong>Lieferumfang:</strong><ul><li>Tacho-Kontrollleuchte Blau</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9209;Tacho-Kontrollleuchte Gelb;BTG.00.088.003-GELB;Tacho-Kontrollleuchte Gelb;BTG.00.088.003-GELB;12 V. Für Blinkeranzeige.;<ul><li>Tacho-Kontrollleuchte Gelb</li><li>Zur Verwendung als Blinkeranzeige im SW-MOTECH<br> Aluminium- oder Kunststoff Tachogehäuse</li></ul><br><strong>Lieferumfang:</strong><br></br><ul><li>Tacho-Kontrollleuchte Gelb</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9210;Tacho-Kontrollleuchte Grün;BTG.00.088.004-GRUEN;Tacho-Kontrollleuchte Grün;BTG.00.088.004-GRUEN;12 V. Für Leerlaufanzeige.;<ul><li>Tacho-Kontrollleuchte Grün</li><li>Zur Verwendung als Leerlaufanzeige im SW-MOTECH<br> Aluminium- oder Kunststoff Tachogehäuse</li></ul><br><strong>Lieferumfang:</strong><ul><li>Tacho-Kontrollleuchte Grün</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9211;Beleuchtung für Kunststoff-Tachogehäuse;BTG.00.088.005_BEL;Beleuchtung für Kunststoff-Tachogehäuse;BTG.00.088.005_BEL;12 V.;<ul><li>Tacho Beleuchtung</li><li>zur Verwendung im SW-MOTECH Kunststoff-Tachogehäuse BTG.00.088.110</li></ul><br><strong>Lieferumfang:</strong><ul><li>Tacho Beleuchtung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9212;QUICK-LOCK ALU-RACK Ersatz-Schnellvers.;CAM.00.GPT;QUICK-LOCK ALU-RACK Ersatz-Schnellvers.;CAM.00.GPT;Sicherungsring/Haltenocken/Schrauben/Scheiben.;1 Schnellverschluss zur Befestigung einer SW-MOTECH Adapterplatte<br>auf einem SW-MOTECH ALU-RACK<ul><li>Zur Nachbestellung bei Verlust</li></ul><br><strong>Lieferumfang:</strong><ul><li>1 Schnellverschluss, 1 Sicherungsring, 1 Haltenocke,<br> 2 gewindefurchende Schrauben M3x6, 2 Unterlegscheiben</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9213;QUICK-LOCK Träger Ersatz-Schnellverschluss;CAM.00.KFT;QUICK-LOCK Träger Ersatz-Schnellverschluss;CAM.00.KFT;Sicherungsring/Federscheibe.;Schnellverschluss zur Befestigung eines SW-MOTECH QUICK LOCK<br>Seitenkofferträgers<ul><li>Zur Nachbestellung bei Verlust</li></ul><br><strong>Lieferumfang:</strong><ul><li>1 Schnellverschluss</li><li>1 Sicherungsring</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9214;Kamera-Halter Kit M8;CPA.00.424.100;Kamera-Halter Kit M8;CPA.00.424.100;M8 Gewinde. Kamera-Halter/Kugel/RAM-Arm.;<strong>Kamera Halter Kit M8</strong><ul><li>Eine Kugel wird mittels einer M8 Schraube befestigt,<br>gleichgültig wo am Motorrad sich ein solches Gewinde findet</li><li>Über einem RAM Klemmarm und einen Kamera Adapter wird<br>so eine individuelle Positionierung Ihrer Kamera ermöglicht</li></ul><br><strong>Lieferumfang:</strong><ul><li>Befestigungskugel</li><li>RAM Klemmarm</li><li>Kamera Adapterkugel mit Gummi Scheibe</li><li>Montagematerial</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9215;Universal-Halter Kit M8;CPA.00.424.102;Universal-Halter Kit M8;CPA.00.424.102;M8 Gewinde. Universal-Halter/Kugel/RAM-Arm.;<strong>Universal Halter Kit M8</strong><ul><li>Eine Kugel wird mittels einer M8 Schraube befestigt,<br>gleichgültig wo am Motorrad sich ein solches Gewinde findet</li><li>Über einem RAM Klemmarm und einen Geräte Adapter wird<br>so eine individuelle Positionierung z. B. Ihres GPS Gerätes ermöglicht</li></ul><br><strong>Lieferumfang:</strong><ul><li>Befestigungskugel</li><li>RAM Klemmarm</li><li>Geräte Adapterkugel mit Halteblech</li><li>Montagematerial</li></ul><br><strong>Besonderheiten:</strong><ul><li>Das Lochbild auf dem mitgelieferten Halteblech entspricht dem der Gerätesockel<br>von TOMTOM Rider I + II + 40/400 sowie Garmin Zumo 500 + 550</li><li>Für die Verwendung von Auto Navigationsgeräten empfiehlt sich eine spritzwassergeschütze<br>PDA Tasche zum Anschrauben an das Halteblech z. B. <strong>BCK.GPS.00.010.112</strong></li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9216;Kamera-Halter Kit M6;CPA.00.424.11000/B;Kamera-Halter Kit M6;CPA.00.424.11000/B;M6 Gewinde. Kamera-Halter/Kugel/RAM-Arm.;<strong>Kamera Halter Kit M6</strong><ul><li>Eine Kugel wird mittels einer M6 Schraube befestigt,<br>gleichgültig wo am Motorrad sich ein solches Gewinde findet</li><li>Über einem RAM Klemmarm und einen Kamera Adapter wird<br>so eine individuelle Positionierung Ihrer Kamera ermöglicht</li></ul><br><strong>Lieferumfang:</strong><ul><li>Befestigungskugel</li><li>RAM Klemmarm</li><li>Kamera Adapterkugel mit Gummi Scheibe</li><li>Montagematerial</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9217;Kugel M8;CPA.00.424.111;Kugel M8;CPA.00.424.111;M8 Gewinde. ø 1 Zoll. Für RAM-Arm.;<strong>Kugel M8</strong><ul><li>Zur Montage eines vorhandenen RAM Klemmarmes</li></ul><br><strong>Lieferumfang:</strong><ul><li>Befestigungskugel</li><li>Montagematerial</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9218;Kugel M6;CPA.00.424.112;Kugel M6;CPA.00.424.112;M6 Gewinde. ø 1 Zoll. Für RAM-Arm.;<strong>Kugel M6</strong><ul><li>Zur Montage eines vorhandenen RAM Klemmarmes</li></ul><br><strong>Lieferumfang:</strong><ul><li>Befestigungskugel</li><li>Montagematerial</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9219;Kamera-Halter;CPA.00.424.113;Kamera-Halter;CPA.00.424.113;ø 1 Zoll. Kamera-Halterkugel. Für RAM-Arm.;<strong>Kamera-Halter</strong><br><ul><li> Zur Montage einer kleinen Kamera an einem vorhandenen RAM Klemmarm</li></ul><br><strong>Lieferumfang:</strong><ul><li>Kamera Adapterkugel mit Gummischeibe</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9220;Universal-Halter;CPA.00.424.11400/B;Universal-Halter;CPA.00.424.11400/B;ø 1 Zoll. Universal- Halter. Für RAM-Arm.;0;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9221;Kugel M10 Spiegelgewinde;CPA.00.424.115;Kugel M10 Spiegelgewinde;CPA.00.424.115;M10 x 1,25 mm Gewinde. ø 1 Zoll. Für RAM-Arm.;<strong>Kugel M10 Spiegelgewinde</strong><ul><li>zur Montage eines vorhandenen RAM-Arms</li></ul><br><strong>Lieferumfang:</strong><ul><li>1 Befestigungskugel</li><li>1 Schraube M10 x 1,25 mm</li></ul><br><strong>Besonderheiten:</strong><ul><li>ACHTUNG!:Für Motorräder mit Erstzulassung nach 1992 nur in Kombination mit einer Spiegelverlängeung <br>im Bereich der StVO zugelassen, da 2 Spiegel am Motorrad vorhanden sein müssen.<br>Alternativ empfehlen wir den GPS-Halter Spiegelgewinde <strong>GPS.00.308.10400/B</strong></li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9222;GARMIN nuvi Kugel;CPA.00.424.116;GARMIN nuvi Kugel;CPA.00.424.116;Universal. Für SW-MOTECH GPS-Halter.;<strong>Garmin NUVI Kugel passend für:</strong><ul><li><strong>Nuvi</strong><br>1200, 1250, 1260, 1300, 1350, 1370, 1390, 1490, 200, 205, 250, 255, 260, 265, 270, 275, 350, 360, 370, 465, usw.</li><li><strong>Street Pilot</strong><br>c510, c530, c550, c580, i2, i3, i5<br></li><li><strong>Zumo</strong><br>660</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9223;Universal-Halter Kit M6;CPA.00.424.12000/B;Universal-Halter Kit M6;CPA.00.424.12000/B;M6 Gewinde. Universal-Halter/Kugel/RAM-Arm.;<strong>Universal Halter Kit M6</strong><br>Eine Kugel wird mittels einer M6 Schraube befestigt,<br>gleichgültig wo am Motorrad sich ein solches Gewinde findet.<br>Über einem RAM Klemmarm und einen Geräte Adapter wird<br>so eine individuelle Positionierung z. B. Ihres GPS Gerätes ermöglicht.</li></ul><br><strong>Lieferumfang:</strong><ul><li>1 Befestigungskugel</li><li>2 Schrauben M6</li><li>1 RAM Klemmarm</li><li>1 Geräte Adapterkugel mit Halteblech</li></ul><br><strong>Besonderheiten:</strong><ul><li>Das Lochbild auf dem mitgelieferten Halteblech entspricht dem der Gerätesockel<br>von TOMTOM Rider I + II + 40/400 sowie Garmin Zumo 500 + 550</li><li>Für die Verwendung von Auto Navigationsgeräten empfiehlt sich eine spritzwassergeschütze<br>PDA Tasche zum Anschrauben an das Halteblech z. B. BCK.GPS.00.010.112</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9224;RAM-Arm 3 Zoll;CPA.00.424.12100/B;RAM-Arm 3 Zoll;CPA.00.424.12100/B;"3"" Länge. Schwarz. Für Kugel und Kugelklemme.";"<ul><li>Schwarz pulverbeschichteter RAM Arm aus hochwertigem Aluminium.</li><li>Klemmarm als Verbindung für zwei 1 RAM Kugeladapter geeignet.</li></ul><br><strong>Lieferumfang:</strong><ul><li>1 RAM Klemmarm, Länge 3 Zoll / 7,62cm.</li></ul>""";Auf Lager;Verfügbar : Lieferbar auf Anfrage
9225;RAM-Arm 2 Zoll;CPA.00.424.12300/B;RAM-Arm 2 Zoll;CPA.00.424.12300/B;Schwarz. Für Kugel und Kugelklemme.;<ul><li>Schwarz pulverbeschichteter RAM Arm aus hochwertigem Aluminium.</li><li>Klemmarm als Verbindung für zwei 1 Zoll RAM Kugeladapter geeignet.</li></ul><br><strong>Lieferumfang</strong><ul><li>1 RAM Klemmarm, Länge 2 Zoll / 5,08 cm.</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9226;Universal-Kugel mit Adapter für GoPro Kamera;CPA.00.424.12400/B;Universal-Kugel mit Adapter für GoPro Kamera;CPA.00.424.12400/B;Schwarz.;<p>Montage-Kugel zum Anbringen von GoPro HD HERO Kameras am schwenkbaren RAM Arm Halter. Der Kugelhalter ist auch mit der Actionpro x7 nutzbar.</p><br><strong>Besonderheiten</strong><ul><li>Kugelhalter zur Montage einer GoPro HD HERO Kamara an RAM Arm</li><li>Für GoPro HD HERO, GoPro HD HERO2 und GoPro HD HERO3</li><li>Auch mit ActionCam Actionpro x7 nutzbar</li></ul><br><strong>Lieferumfang</strong><ul><li>GoPro Kamera-Haltekugel für RAM Arm</li><li>Montagematerial</li><li>Anbauanleitung</li><li>Tipp: Auch als Universal-Kit einschließlich RAM Arm erhältlich</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
9227;Universal Kit RAM Arm mit Adapter für GoPro Kamera;CPA.00.424.12500/B;Universal Kit RAM Arm mit Adapter für GoPro Kamera;CPA.00.424.12500/B;Schwarz. Für Lenker Ø 22 mm, 28 mm, 1 Zoll.;<p>Und Action! Die GoPro HD HERO Kameramodelle verbinden Robustheit, vielseitige Einsatzmöglichkeiten und eine für die Gehäusegröße erstaunlich hohe Bildqualität. Dadurch eignet sich die kompakte Digitalkamera bestens für den Einsatz am Motorrad. SW-MOTECH liefert dazu eine vielseitige Universalhalterung aus, die als Komplett-Set verschiedenste Befestigungsvarianten für die aktuelle Generation der Action-Kamera mitbringt. Der Kugelhalter ist auch mit der Actionpro x7 nutzbar. Als Montagevarianten stehen ein Spiegelgewinde-Halter sowie Aufnahmen mit M6- oder M8-Kugel genauso zur Verfügung wie Klemmen für Rohrdurchmesser von 22 und 28 mm sowie 1 Zoll. Der schwenkbare RAM Arm erleichtert die genaue Positionierung der Kamera, um den Bildausschnitt exakt auf die Bedürfnisse des Fahrers hin auszurichten.</p><br><strong>Besonderheiten</strong><ul><li>Komplett-Set zur Montage einer GoPro HD HERO Kamera</li><li>Für GoPro HD HERO, GoPro HD HERO2 und GoPro HD HERO3</li><li>Auch für ActionCam Actionpro x7 nutzbar</li><li>Zahlreiche Befestigungsvarianten</li><li>An nahezu jedem Motorrad-Modell einsetzbar</li><li>Montageklemmen aus festem, glasfaserverstärktem Kunststoff</li><li>Für Befestigung etwa an Lenker, Rahmen oder Schutzbügel mit Rohrdurchmesser von 22 mm, 28 mm oder 1 Zoll</li><li>Anbringen in der Lenkeraufnahme ebenfalls möglich</li><li>Auch direkt an M6 oder M8 Gewinde montierbar</li></ul><br><strong>Lieferumfang</strong><ul><li>Montageklemmen mit Gummieinlegern</li><li>Kugel mit M8-Gewinde und M6-Adapter</li><li>Halterung für Spiegelgewinde</li><li>RAM Arm 3 Zoll</li><li>GoPro Gerätehalter</li><li>Montagematerial</li><li>Anbauanleitung</li></ul>;Auf Lager;Verfügbar : Lieferbar auf Anfrage
