Id du produit;Actif;Titre;ID de la catégorie par défaut;Prix vente HT;ID taxe;Prix d'achat HT;En Solde;Montant de réduction;Pourcentage de réduction;Date de début de réduction (aaaa-mm-jj);Date de fin de réduction (aaaa-mm-jj);Référence du produit;Référence du fournisseur par défaut;Nom du fournisseur par défaut;Fabricant;EAN13;UPC;écotaxe;Largeur;Hauteur;Profondeur;Quantité;Quantité minimale;Visibilité;Frais de port supplémentaires;Unité;Prix à l'unité HT;Description courte;Description;Tous les mots-clés;Meta titre;Meta mots-clefs;Meta description;URL simplifiée;Message quand en stock;Message lorsque hors-stock mais commandable;Disponible à l'achat;Date de mise à jour;Date de création;Afficher le prix ;URLs de toutes les images;Caractéristiques;Condition;Produit à télécharger;En cas de rupture de stock;ID Boutique par défaut;Gestion des stocks avancée
83656;0;MGD Casque Shark Evo One Astor;168;;;;1;;;;;HE9405EWKA;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-evo-one-blank-mat;En Stock;Plus disponible ;;;;;;;;;;;
83658;0;MGD Casque Shark Evo One Krono mat;168;;;;1;;;;;MGD HE9409EKYW;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-evo-one-blank-mat;En Stock;Plus disponible ;;;;;;;;;;;
83659;0;MGD Casque Shark Evo One Blank Mat;168;;;;1;;;;;MGD HE9402EKMA;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-evo-one-blank-mat;En Stock;Plus disponible ;;;;;;;;;;;
83660;1;MGD Casque Shark Evoline Serie 3 Hakka;168;;;;1;;;;;MGD HE9252EWKR;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-evoline-serie-3-hakka-mgd;En Stock;Plus disponible ;;;;;;;;;;;
83661;1;MGD Casque Shark EVOLINE SERIE 3;168;;;;1;;;;;MGD ;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-evoline-serie-3-mat;En Stock;Plus disponible ;;;;;;;;;;;
83662;1;MGD Casque Shark Evoline Serie 3 Fusion;168;;;;1;;;;;MGD HE9250EWHU;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-evoline-serie-3-fusion;En Stock;Plus disponible ;;;;;;;;;;;
83663;1;MGD Casque Shark Evoline Serie 3 MOOV UP;168;;;;1;;;;;MGD HE9360EWKR;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-evoline-serie-3-moov-up-mgd;En Stock;Plus disponible ;;;;;;;;;;;
83665;1;MGD Casque Shark Evoline Serie 3 MOOV UP MGD;168;;;;1;;;;;MGD HE9360EWKS-MGD;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-evoline-serie-3-moov-up-mgd;En Stock;Plus disponible ;;;;;;;;;;;
83666;1;MGD Casque Shark Evoline PRO CARBON MAT;168;;;;1;;;;;MGD HE9902EDKS;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-evoline-pro-carbon-mat;En Stock;Plus disponible ;;;;;;;;;;;
83667;1;MGD Casque Shark RACE-R PRO CARBON BLANK;168;;;;1;;;;;MGD ;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-race-r-pro-carbon-blank;En Stock;Plus disponible ;;;;;;;;;;;
83668;1;MGD Casque Cross Shark SX2 Wacken;168;;;;1;;;;;MGD HE2215EKWA;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-cross-shark-sx2-wacken-;En Stock;Plus disponible ;;;;;;;;;;;
83669;1;MGD Casque Cross Shark SX2 Wacken;168;;;;1;;;;;MGD HE2215EOKW;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-cross-shark-sx2-wacken-;En Stock;Plus disponible ;;;;;;;;;;;
83670;1;MGD Casque Shark RSJ UNI Mat;168;;;;1;;;;;MGD HE7402EKMA;HE7800EBLK;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-rsj-uni-mat;En Stock;Plus disponible ;;;;;;;;;;;
83671;1;MGD Casque Shark RAW STRIPE MAT;168;;;;1;;;;;MGD HE3017EKWK;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;raw-stripe-mat;En Stock;Plus disponible ;;;;;;;;;;;
83672;1;MGD Casque Shark RAW BLANK MAT;168;;;;1;;;;;MGD HE3012EKMA;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-raw-blank-mat;En Stock;Plus disponible ;;;;;;;;;;;
83673;1;MGD Casque Shark RAW Kurtz Mat-GEK;168;;;;1;;;;;MGD ;HE30017EKWK;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;raw-stripe-mat;En Stock;Plus disponible ;;;;;;;;;;;
83674;1;MGD Casque Shark Nano 72;168;;;;1;;;;;MGD HE2830EWXK;;Motogoodeal;Shark;;;;;;;;;;;;;;;;;;;casque-shark-nano-72;En Stock;Plus disponible ;;;;;;;;;;;
83676;1;MGD IXS X-Gant Solaro II noir;447;;;;1;;;;;MGD X40012-003;X40012-003-4XL;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-gant-solaro-ii-noir;En Stock;Plus disponible ;;;;;;;;;;;
83677;1;MGD Casque IXS HX 215 Rubin blanc-argent-rouge;447;;;;1;;;;;MGD X14056-192;X14056-192-XL;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-215-rubin-blanc-argent-rouge;En Stock;Plus disponible ;;;;;;;;;;;
83680;1;MGD Casque IXS HX 1000 noir;447;;;;1;;;;;MGD X14040-003;X14040-003-XL;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-1000-noir;En Stock;Plus disponible ;;;;;;;;;;;
83681;1;MGD Casque IXS HX 215 blanc;447;;;;1;;;;;MGD X14055-001;X14055-001-XL;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-215-blanc;En Stock;Plus disponible ;;;;;;;;;;;
83682;1;MGD Casque IXS HX 137 noir mat;447;;;;1;;;;;MGD X10016-M33;X10016-M33-2XL;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-137-noir-mat;En Stock;Plus disponible ;;;;;;;;;;;
83683;1;MGD Casque IXS HX 137 noir;447;;;;1;;;;;MGD X10016-003;X10016-003-S;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-137-noir;En Stock;Plus disponible ;;;;;;;;;;;
83684;1;MGD Casque IXS HX 207 Atlas blanc-rouge-argent;447;;;;1;;;;;MGD X12021-129;X12021-129-M;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-207-atlas-blanc-rouge-argent;En Stock;Plus disponible ;;;;;;;;;;;
83685;1;MGD Casque IXS HX 105 noir mat-argent;447;;;;1;;;;;MGD Z4005-M39;Z4005-M39-3XL;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-105-noir-mat-argent;En Stock;Plus disponible ;;;;;;;;;;;
83687;1;MGD Casque IXS HX 105 NEON noir-jaune-mat;447;;;;1;;;;;MGD X10019-M35;X10019-M35-L;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-105-neon-noir-jaune-mat;En Stock;Plus disponible ;;;;;;;;;;;
83688;1;MGD Casque IXS HX 104 noir mat;447;;;;1;;;;;MGD Z4004-333;Z4004-333-L;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-104-noir-mat;En Stock;Plus disponible ;;;;;;;;;;;
83689;1;MGD Casque IXS HX 91 blanc;447;;;;1;;;;;MGD X10801-001;X10801-001-S;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-91-blanc;En Stock;Plus disponible ;;;;;;;;;;;
83690;1;MGD Casque IXS HX 87 Crackle noir mat;447;;;;1;;;;;MGD X10025-M33;X10025-M33-L;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-87-crackle-noir-mat;En Stock;Plus disponible ;;;;;;;;;;;
83691;1;MGD Casque IXS HX 89 Star II noir-blanc mat;447;;;;1;;;;;MGD X10048-M31;X10048-M31-XL;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-89-star-ii-noir-blanc-mat;En Stock;Plus disponible ;;;;;;;;;;;
83692;1;MGD Casque IXS HX 77 Start noir-blanc;447;;;;1;;;;;MGD X10037-031;X10037-031-XS;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-77-start-noir-blanc;En Stock;Plus disponible ;;;;;;;;;;;
83693;1;MGD Casque IXS HX 77 Start blanc-noir-rouge;447;;;;1;;;;;MGD X10037-132;X10037-132-L;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;casque-ixs-hx-77-start-blanc-noir-rouge;En Stock;Plus disponible ;;;;;;;;;;;
83694;1;MGD IXS X-Gant Samur noir;447;;;;1;;;;;MGD X40704-003;X40704-003-S;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-gant-samur-noir;En Stock;Plus disponible ;;;;;;;;;;;
83695;1;MGD IXS X-Gant Toulon noir;447;;;;1;;;;;MGD X40011-003;X40011-003-XS;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-gant-toulon-noir;En Stock;Plus disponible ;;;;;;;;;;;
83696;1;MGD IXS X-Gant X-7 noir;447;;;;1;;;;;MGD X42703-003;X42703-003-S;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-gant-x-7-noir;En Stock;Plus disponible ;;;;;;;;;;;
83697;1;MGD IXS X-Gant Village II noir;447;;;;1;;;;;MGD X42032-003;X42032-003-2XL;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-gant-village-ii-noir;En Stock;Plus disponible ;;;;;;;;;;;
83698;1;MGD IXS X-Veste Activo noir-vert-blanc;447;;;;1;;;;;MGD X56018-371;X56018-371-3XL;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-veste-activo-noir-vert-blanc;En Stock;Plus disponible ;;;;;;;;;;;
83699;1;MGD IXS X-Veste Activo noir-bleu-blanc;447;;;;1;;;;;MGD X56018-341;X56018-341-L;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-veste-activo-noir-bleu-blanc;En Stock;Plus disponible ;;;;;;;;;;;
83700;1;MGD IXS X-Veste Evans noir;447;;;;1;;;;;MGD X55028-003;X55028-003-M;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-veste-evans-noir;En Stock;Plus disponible ;;;;;;;;;;;
83701;1;MGD IXS X-Veste Norman noir-blanc;447;;;;1;;;;;MGD X56016-031;X56016-031-S;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-veste-norman-noir-blanc;En Stock;Plus disponible ;;;;;;;;;;;
83702;1;MGD IXS X-Veste Norman noir;447;;;;1;;;;;MGD X56016-003;;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-veste-norman-noir;En Stock;Plus disponible ;;;;;;;;;;;
83703;1;MGD IXS X-Veste Shertan noir-blanc;447;;;;1;;;;;MGD X73015-031;X73015-031-56;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-veste-shertan-noir-blanc;En Stock;Plus disponible ;;;;;;;;;;;
83704;1;MGD IXS X-Veste Shertan noir;447;;;;1;;;;;MGD X73015-003;X73015-003-48H;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-veste-shertan-noir;En Stock;Plus disponible ;;;;;;;;;;;
83705;1;MGD IXS X-Veste Sting noir-jaune-blanc;447;;;;1;;;;;MGD X73011-351;X73011-351-110;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-veste-sting-noir-jaune-blanc;En Stock;Plus disponible ;;;;;;;;;;;
83706;1;MGD IXS X-Chaussures Lea II noir;447;;;;1;;;;;MGD X47713-003;X47713-003-37;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-chaussures-lea-ii-noir;En Stock;Plus disponible ;;;;;;;;;;;
83707;1;MGD IXS X-Pantalon Aurora noir;447;;;;1;;;;;MGD X65306-003;X65306-003-DS;Motogoodeal;IXS;;;;;;;;;;;;;;;;;;;ixs-x-pantalon-aurora-noir;En Stock;Plus disponible ;;;;;;;;;;;
83708;0;MGD Combinaison Alpinestars GP PRO 2PCE - Noir/Blanc/Rouge;170;;;;1;;;;;MGD RPGASL2141231;RPGASL214123102;Motogoodeal;Alpinestars;;;;;;;;;;;;;;;;;;;alpinestars-kombi-gp-pro-2pce-schwarz-weiss-rot;En Stock;Plus disponible ;;;;;;;;;;;
83710;1;MGD Casque Shoei GT Air blanc;454;;;;1;;;;;MGD Z12000-001;Z12000-001-2XL;Motogoodeal;Shoei;;;;;;;;;;;;;;;;;;;casque-shoei-gt-air-blanc;En Stock;Plus disponible ;;;;;;;;;;;
83711;1;MGD Casque Shoei GT-Air Inertia rouge-blanc-noir;454;;;;1;;;;;MGD Z12003-213;Z12003-213-S;Motogoodeal;Shoei;;;;;;;;;;;;;;;;;;;casque-shoei-gt-air-inertia-rouge-blanc-noir;En Stock;Plus disponible ;;;;;;;;;;;
83712;1;MGD Casque Shoei GT-Air Regalia blanc-noir-gris;454;;;;1;;;;;MGD Z12004-139;Z12004-139-XL;Motogoodeal;Shoei;;;;;;;;;;;;;;;;;;;casque-shoei-gt-air-regalia-blanc-noir-gris;En Stock;Plus disponible ;;;;;;;;;;;
83714;1;MGD Casque Shoei GT-Air Exposure TC-1 mat rouge-noir;454;;;;1;;;;;MGD Z12008-M23;Z12008-M23-M;Motogoodeal;Shoei;;;;;;;;;;;;;;;;;;;casque-shoei-gt-air-exposure-tc-1-mat-rouge-noir;En Stock;Plus disponible ;;;;;;;;;;;
83715;1;MGD Casque Shoei GT-Air Exposure TC-10 blanc-bleu-rouge;454;;;;1;;;;;MGD Z12008-142;Z12008-142-XS;Motogoodeal;Shoei;;;;;;;;;;;;;;;;;;;casque-shoei-gt-air-exposure-tc-10-blanc-bleu-rouge;En Stock;Plus disponible ;;;;;;;;;;;
83716;1;MGD Casque Shoei GT-Air Wanderer TC-3 jaune mat-noir;454;;;;1;;;;;MGD Z12001-M53;Z12001-M53-2XL;Motogoodeal;Shoei;;;;;;;;;;;;;;;;;;;casque-shoei-gt-air-wanderer-tc-3-jaune-mat-noir;En Stock;Plus disponible ;;;;;;;;;;;
83717;1;MGD Casque Shoei NXR Mystify rouge-noir-gris;454;;;;1;;;;;MGD Z11501-239;Z11501-239-XL;Motogoodeal;Shoei;;;;;;;;;;;;;;;;;;;casque-shoei-nxr-mystify-rouge-noir-gris;En Stock;Plus disponible ;;;;;;;;;;;
